id,name,common_name,active_substance,therapeutic_area,group
0,Lojuxta,lomitapide,Lomitapide,Hypercholesterolemia,Lipid modifying agents
1,Halaven,eribulin,Eribulin,Breast Neoplasms;Liposarcoma,Antineoplastic agents
2,Gardasil 9,"human papillomavirus 9-valent vaccine (recombinant, adsorbed)","human papillomavirus vaccine [types 6, 11, 16, 18, 31, 33, 45, 52, 58] (recombinant, adsorbed)",Condylomata Acuminata;Papillomavirus Infections;Immunization;Uterine Cervical Dysplasia,Papillomavirus vaccines
3,Qinlock,ripretinib,ripretinib,Gastrointestinal Stromal Tumors,Antineoplastic agents
4,Erelzi,etanercept,etanercept,"Arthritis, Psoriatic;Psoriasis;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid;Spondylitis, Ankylosing",Immunosuppressants
5,Abevmy,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",Antineoplastic agents
6,Xadago,safinamide,safinamide methanesulfonate,Parkinson Disease,Anti-Parkinson drugs
7,Pergoveris,follitropin alfa;lutropin alfa,follitropin alfa;lutropin alfa,"Infertility, Female",Sex hormones and modulators of the genital system
8,Triumeq,abacavir sulfate / dolutegravir sodium / lamivudine,dolutegravir sodium;lamivudine;abacavir (as sulfate),HIV Infections,Antivirals for systemic use
9,Qdenga,"dengue tetravalent vaccine (live, attenuated)","Dengue virus, serotype 2, expressing Dengue virus, serotype 1, surface proteins, live, attenuated;Dengue virus, serotype 2, expressing Dengue virus, serotype 3, surface proteins, live, attenuated;Dengue virus, serotype 2, expressing Dengue virus, serotype 4, surface proteins, live, attenuated;Dengue virus, serotype 2, live, attenuated",Dengue,Vaccines
10,Kentera (previously Oxybutynin Nicobrand),oxybutynin,oxybutynin,"Urinary Incontinence, Urge",Urologicals
11,Dynastat,parecoxib,parecoxib sodium,"Pain, Postoperative",Antiinflammatory and antirheumatic products;Coxibs
12,Vyepti,eptinezumab,Eptinezumab,Migraine Disorders,Analgesics
13,Tevimbra,tislelizumab,Tislelizumab,Esophageal Squamous Cell Carcinoma,Antineoplastic agents
14,Spevigo,spesolimab,Spesolimab,Psoriasis,Immunosuppressants
15,Tresiba,insulin degludec,insulin degludec,Diabetes Mellitus,Drugs used in diabetes
16,Tukysa,tucatinib,Tucatinib,Breast Neoplasms;Neoplasm Metastasis,Antineoplastic agents
17,Holoclar,ex vivo expanded autologous human corneal epithelial cells containing stem cells,ex vivo expanded autologous human corneal epithelial cells containing stem cells,Stem Cell Transplantation;Corneal Diseases,Ophthalmologicals
18,Reblozyl,luspatercept,Luspatercept,Anemia;Myelodysplastic Syndromes;beta-Thalassemia,Other antianemic preparations
19,Uzpruvo,ustekinumab,ustekinumab,"Psoriasis;Arthritis, Psoriatic;Crohn Disease;Colitis, Ulcerative",Immunosuppressants
20,Evenity,romosozumab,Romosozumab,Osteoporosis,Drugs for treatment of bone diseases
21,Arexvy,"Recombinant respiratory syncytial virus pre-fusion F protein, adjuvanted with AS01E",Respiratory Syncytial Virus recombinant glycoprotein F stabilised in the pre-fusion conformation (RSVPreF3) produced in Chinese Hamster Ovary (CHO) cells by recombinant DNA technology,Respiratory Syncytial Virus Infections,Vaccines
